50 1 2
Antonio 31 20 30
Marcos 25 30 30
Maria 31 10 10
Joana 27 20 40
Caio 18 13 17
José 25 35 25
Ana 24 30 20
Paulo 22 25 35
Carla 29 30 15
Luiz 23 20 20
Beatriz 28 15 25
Roberto 27 25 30
Fernanda 26 30 20
Bruno 30 25 15
Lara 19 10 25
Ricardo 24 20 30
Aline 21 30 25
Eduardo 25 15 20
Juliana 28 20 35
Sergio 29 30 25
Tatiana 27 15 20
Felipe 23 25 30
Patricia 26 20 25
Rafael 30 35 30
Carolina 19 20 15
Gustavo 28 25 20
Sandra 27 15 25
Tiago 22 20 30
Isabela 25 30 25
Pedro 31 25 20
Camila 21 30 15
Marcelo 28 20 30
Bruna 26 25 20
Diego 24 30 25
Renata 29 15 20
Fernando 23 20 30
Tatiane 31 25 25
André 27 30 20
Luciana 24 20 35
Daniel 30 25 25
Adriana 21 20 30
Leonardo 29 30 20
Marta 22 25 15
Henrique 25 20 30
Elaine 28 30 25
Rodrigo 27 25 20
Cristina 24 15 25
Fabio 26 30 20
Monica 30 25 30
Murilo 23 20 15
Mariana 25 30 20
Renato 28 15 30
Flavia 29 20 25
Vinicius 27 30 25
Helena 26 20 30
Gabriel 31 25 20
